class,	num,	num,	num,	num,	num,	comment
40,	4,	89.00,	62.00,	2050,	17.3,	toyota tercel
40,	4,	98.00,	76.00,	2144,	14.7,	vw rabbit
10,	8,	400.0,	167.0,	4906,	12.5,	ford country
25,	4,	140.0,	92.00,	2572,	14.9,	capri ii
25,	4,	151.0,	88.00,	2740,	16.0,	pontiac sunbird coupe
25,	4,	97.00,	88.00,	2100,	16.5,	toyota corolla 1600 (sw)
25,	4,	156.0,	92.00,	2620,	14.4,	dodge aries wagon (sw)
25,	4,	98.00,	79.00,	2255,	17.7,	dodge colt
25,	8,	350.0,	105.0,	3725,	19.0,	oldsmobile cutlass ls
25,	6,	168.0,	116.0,	2900,	12.6,	toyota cressida
35,	4,	105.0,	70.00,	2150,	14.9,	plymouth horizon tc3
35,	4,	81.00,	60.00,	1760,	16.1,	honda civic 1300
35,	4,	120.0,	88.00,	2160,	14.5,	nissan stanza xe
35,	4,	78.00,	52.00,	1985,	19.4,	mazda glc deluxe
15,	8,	350.0,	165.0,	4274,	12.0,	chevrolet impala
15,	8,	350.0,	175.0,	4100,	13.0,	buick century 350
15,	8,	350.0,	180.0,	4380,	12.1,	cadillac seville
15,	8,	351.0,	148.0,	4657,	13.5,	ford ltd
15,	6,	231.0,	110.0,	3907,	21.0,	buick century
15,	6,	250.0,	100.0,	3278,	18.0,	chevrolet nova custom
15,	8,	360.0,	170.0,	4654,	13.0,	plymouth custom suburb
15,	8,	350.0,	155.0,	4502,	13.5,	buick lesabre custom
30,	4,	151.0,	90.00,	2678,	16.5,	chevrolet citation
30,	4,	91.00,	67.00,	1965,	15.7,	honda civic (auto)
30,	6,	173.0,	115.0,	2595,	11.3,	chevrolet citation
30,	4,	98.00,	68.00,	2045,	18.5,	honda accord cvcc
30,	4,	68.00,	49.00,	1867,	19.5,	fiat 128
30,	4,	89.00,	71.00,	1990,	14.9,	volkswagen scirocco
45,	4,	91.00,	67.00,	1850,	13.8,	honda civic 1500 gl
20,	8,	302.0,	139.0,	3205,	11.2,	ford futura
20,	4,	121.0,	110.0,	2600,	12.8,	bmw 320i
20,	4,	121.0,	76.00,	2511,	18.0,	volkswagen 411 (sw)
20,	6,	232.0,	112.0,	2835,	14.7,	ford granada l
20,	6,	231.0,	105.0,	3425,	16.9,	buick skylark
20,	6,	225.0,	105.0,	3613,	16.5,	plymouth satellite sebring
20,	4,	108.0,	94.00,	2379,	16.5,	datsun 610
20,	6,	232.0,	100.0,	2945,	16.0,	amc hornet
20,	6,	156.0,	108.0,	2930,	15.5,	toyota mark ii
